epoch,test_time,train_time,loss,accuracy
1,4.4993286359999995,4.044462549,0.0029,43
2,8.847689586000001,8.396075508,0.0024,37
3,13.199295044,12.750284791999999,0.0022,55
4,17.553893399,17.100950519,0.0020,55
5,21.938904733,21.485949567,0.0018,60
6,26.339362862,25.886826784,0.0017,63
7,30.699838554000003,30.243965918999997,0.0016,64
8,35.064473984,34.61167792,0.0015,64
9,39.470298301,39.009590941,0.0014,68
10,43.89769457,43.429037793,0.0013,74
11,48.291960076,47.836892415,0.0013,75
12,52.743858102,52.278658529,0.0012,76
13,57.175454136999996,56.713970335999996,0.0012,78
14,61.591156082999994,61.134978649,0.0011,77
15,66.04338223100001,65.58005530899999,0.0011,78
16,70.54983336999999,70.059170134,0.0010,77
17,75.01056439799999,74.54649798099999,0.0010,79
18,79.495500168,79.031858932,0.0010,80
19,83.972362594,83.508832025,0.0009,80
20,88.44375872,87.983932125,0.0009,81
21,92.86206454,92.389641299,0.0009,81
22,97.296659689,96.84219055099999,0.0008,81
23,101.673611924,101.21925623000001,0.0008,81
24,106.03829871900001,105.586500688,0.0008,80
25,110.40932814300001,109.95520878299999,0.0008,82
26,114.777021435,114.324471117,0.0008,82
27,119.176037783,118.719141377,0.0008,81
28,123.55535633299999,123.09817956499998,0.0007,83
29,127.92364643799999,127.46953148399999,0.0007,82
30,132.296423679,131.84516226899999,0.0007,82
31,136.676275253,136.2196989,0.0007,83
32,141.035075687,140.585913807,0.0006,84
33,145.39529439999998,144.946910065,0.0006,83
34,149.754660571,149.302517757,0.0007,83
35,154.13080359399999,153.679020076,0.0006,84
36,158.503712168,158.050204085,0.0006,84
37,162.898988578,162.447801364,0.0006,83
38,167.262040491,166.81093346699998,0.0006,84
39,171.625246715,171.175381563,0.0006,83
40,175.993321719,175.54246811599998,0.0006,85
41,180.368019042,179.915912529,0.0006,86
42,184.750662474,184.29758848199998,0.0006,86
43,189.135669319,188.681575867,0.0006,86
44,193.518435827,193.06420674499998,0.0005,86
45,197.90642516399998,197.45140597,0.0005,86
46,202.28778215,201.831969058,0.0005,87
47,206.679111046,206.225848182,0.0005,87
48,211.086396259,210.63124082599998,0.0005,86
49,215.4597581,215.008692696,0.0005,86
50,219.83329251199999,219.377658704,0.0005,87
51,224.190567881,223.742320128,0.0005,87
52,228.543344777,228.09044047199998,0.0005,87
53,232.88190527,232.43440308799998,0.0005,87
54,237.223246497,236.773807313,0.0005,88
55,241.568978923,241.120068219,0.0005,89
56,245.910798702,245.46388203799998,0.0005,88
57,250.25614375499998,249.80534128099998,0.0005,87
58,254.635420919,254.18448025599997,0.0005,87
59,258.989889226,258.543904151,0.0005,87
60,263.336518216,262.887666418,0.0005,88
61,267.696901637,267.248590136,0.0005,87
62,272.049334842,271.600457152,0.0005,88
63,276.40725953,275.959900047,0.0005,87
64,280.7593521,280.30930630299997,0.0005,89
65,285.106924808,284.661266971,0.0005,89
66,289.456447412,289.007368719,0.0005,88
67,293.83399856,293.385173411,0.0005,88
68,298.193559515,297.74251258699996,0.0004,89
69,302.58244906,302.13037301599996,0.0005,88
70,306.938611724,306.49018469099997,0.0004,89
71,311.29865877599997,310.847233363,0.0005,88
72,315.658757586,315.209196109,0.0004,90
73,320.018880589,319.566447551,0.0004,89
74,324.37492450999997,323.925270607,0.0005,89
75,328.731799294,328.277430178,0.0005,88
76,333.090600459,332.640740819,0.0005,89
77,337.465346169,337.017415012,0.0005,89
78,341.824875409,341.374503325,0.0004,89
79,346.212263441,345.761535192,0.0004,88
80,350.567944955,350.119703942,0.0004,89
81,354.927008432,354.476518311,0.0005,89
82,359.286023214,358.837785569,0.0004,89
83,363.647222181,363.194303661,0.0004,89
84,368.007955801,367.557914417,0.0004,89
85,372.366084201,371.918944905,0.0004,90
86,376.733418426,376.282028609,0.0004,90
87,381.090472493,380.644058165,0.0004,89
88,385.455018475,385.003470433,0.0004,89
89,389.84439287099997,389.394547418,0.0004,89
90,394.20140270999997,393.753974281,0.0004,90
91,398.55412581999997,398.102830963,0.0004,90
92,402.902361316,402.452360574,0.0005,89
93,407.247881483,406.799343093,0.0004,90
94,411.605570566,411.157989858,0.0004,90
95,415.965804267,415.51338977899997,0.0004,90
96,420.30786064299997,419.861482318,0.0004,89
97,424.65150237299997,424.2013027,0.0004,90
98,428.992815714,428.54146708499997,0.0004,90
99,433.362066176,432.91383168,0.0004,90
100,437.711107362,437.257624401,0.0004,89
101,442.05669565,441.608337019,0.0004,89
102,446.405178772,445.953872498,0.0004,88
103,450.758494583,450.310619011,0.0004,90
104,455.10707355,454.656550617,0.0004,90
105,459.502285831,459.044218614,0.0004,90
106,463.924664289,463.46944476199997,0.0004,90
107,468.301686925,467.844024349,0.0004,90
108,472.64227832299997,472.196827661,0.0004,89
109,477.010920661,476.534103045,0.0005,90
110,481.349964968,480.902623388,0.0004,89
111,485.690172294,485.242056399,0.0004,89
112,490.022027393,489.57395633699997,0.0004,90
113,494.361931202,493.917106068,0.0004,90
114,498.706265535,498.258043041,0.0004,90
115,503.046310782,502.59595844800003,0.0004,89
116,507.389012516,506.94069961,0.0005,91
117,511.727030429,511.27828729600003,0.0004,90
118,516.079970787,515.634815502,0.0004,90
119,520.454261023,520.004110332,0.0004,90
120,524.797852922,524.349836209,0.0004,90
121,529.136388774,528.688179443,0.0004,90
122,533.496512598,533.050341633,0.0004,90
123,537.8524341789999,537.400558596,0.0004,90
124,542.200747998,541.7530053309999,0.0004,91
125,546.552491582,546.102588844,0.0004,90
126,550.903206217,550.457369991,0.0004,90
127,555.248180356,554.7990096,0.0004,91
128,559.597753932,559.146291443,0.0004,90
129,563.9377014089999,563.489840072,0.0004,90
130,568.312911126,567.861495253,0.0004,90
131,572.650874436,572.203051729,0.0004,90
132,577.000968131,576.547293845,0.0004,90
133,581.344458379,580.897973061,0.0004,91
134,585.6833213259999,585.235650633,0.0004,90
135,590.021554983,589.571880659,0.0004,90
136,594.365376568,593.918272071,0.0004,91
137,598.71869828,598.269050762,0.0004,90
138,603.063212985,602.61631701,0.0005,89
139,607.405541977,606.956573132,0.0004,91
140,611.779962263,611.3340557719999,0.0005,90
141,616.130196862,615.6800974939999,0.0004,90
142,620.482706984,620.034971811,0.0004,90
143,624.840032866,624.38759674,0.0004,90
144,629.187219119,628.740497019,0.0004,90
145,633.5432270379999,633.090953741,0.0004,90
146,637.891600252,637.445323297,0.0004,90
147,642.255128146,641.801194061,0.0004,90
148,646.618760207,646.167846016,0.0005,90
149,650.974761722,650.527900348,0.0005,91
150,655.36784118,654.912741812,0.0004,90
